ObservationDate,Confirmed,Recovered,Deaths,WeekOfYear
2020-01-30,1.0,0.0,0.0,5
2020-01-31,1.0,0.0,0.0,5
2020-02-01,1.0,0.0,0.0,5
2020-02-02,2.0,0.0,0.0,5
2020-02-03,3.0,0.0,0.0,6
2020-02-04,3.0,0.0,0.0,6
2020-02-05,3.0,0.0,0.0,6
2020-02-06,3.0,0.0,0.0,6
2020-02-07,3.0,0.0,0.0,6
2020-02-08,3.0,0.0,0.0,6
2020-02-09,3.0,0.0,0.0,6
2020-02-10,3.0,0.0,0.0,7
2020-02-11,3.0,0.0,0.0,7
2020-02-12,3.0,0.0,0.0,7
2020-02-13,3.0,0.0,0.0,7
2020-02-14,3.0,0.0,0.0,7
2020-02-15,3.0,0.0,0.0,7
2020-02-16,3.0,3.0,0.0,7
2020-02-17,3.0,3.0,0.0,8
2020-02-18,3.0,3.0,0.0,8
2020-02-19,3.0,3.0,0.0,8
2020-02-20,3.0,3.0,0.0,8
2020-02-21,3.0,3.0,0.0,8
2020-02-22,3.0,3.0,0.0,8
2020-02-23,3.0,3.0,0.0,8
2020-02-24,3.0,3.0,0.0,9
2020-02-25,3.0,3.0,0.0,9
2020-02-26,3.0,3.0,0.0,9
2020-02-27,3.0,3.0,0.0,9
2020-02-28,3.0,3.0,0.0,9
2020-02-29,3.0,3.0,0.0,9
2020-03-01,3.0,3.0,0.0,9
2020-03-02,5.0,3.0,0.0,10
2020-03-03,5.0,3.0,0.0,10
2020-03-04,28.0,3.0,0.0,10
2020-03-05,30.0,3.0,0.0,10
2020-03-06,31.0,3.0,0.0,10
2020-03-07,34.0,3.0,0.0,10
2020-03-08,39.0,3.0,0.0,10
2020-03-09,43.0,3.0,0.0,11
2020-03-10,56.0,4.0,0.0,11
2020-03-11,62.0,4.0,1.0,11
2020-03-12,73.0,4.0,1.0,11
2020-03-13,82.0,4.0,2.0,11
2020-03-14,102.0,4.0,2.0,11
2020-03-15,113.0,13.0,2.0,11
2020-03-16,119.0,13.0,2.0,12
2020-03-17,142.0,14.0,3.0,12
2020-03-18,156.0,14.0,3.0,12
2020-03-19,194.0,15.0,4.0,12
2020-03-20,244.0,20.0,5.0,12
2020-03-21,330.0,23.0,4.0,12
2020-03-22,396.0,24.0,7.0,12
2020-03-23,499.0,34.0,10.0,13
2020-03-24,536.0,40.0,10.0,13
2020-03-25,657.0,43.0,12.0,13
2020-03-26,727.0,45.0,20.0,13
2020-03-27,887.0,73.0,20.0,13
2020-03-28,987.0,84.0,24.0,13
2020-03-29,1024.0,95.0,27.0,13
2020-03-30,1251.0,102.0,32.0,14
2020-03-31,1397.0,123.0,35.0,14
2020-04-01,1998.0,148.0,58.0,14
2020-04-02,2543.0,191.0,72.0,14
2020-04-03,2567.0,192.0,72.0,14
2020-04-04,3082.0,229.0,86.0,14
2020-04-05,3588.0,229.0,99.0,14
2020-04-06,4778.0,375.0,136.0,15
2020-04-07,5311.0,421.0,150.0,15
2020-04-08,5916.0,506.0,178.0,15
2020-04-09,6725.0,620.0,226.0,15
2020-04-10,7598.0,774.0,246.0,15
2020-04-11,8446.0,969.0,288.0,15
2020-04-12,9205.0,1080.0,331.0,15
2020-04-13,10453.0,1181.0,358.0,16
2020-04-14,11487.0,1359.0,393.0,16
2020-04-15,12322.0,1432.0,405.0,16
2020-04-16,13430.0,1768.0,448.0,16
2020-04-17,14352.0,2041.0,486.0,16
2020-04-18,15722.0,2463.0,521.0,16
2020-04-19,17615.0,2854.0,559.0,16
2020-04-20,18539.0,3273.0,592.0,17
2020-04-21,20080.0,3975.0,645.0,17
2020-04-22,21370.0,4370.0,681.0,17
2020-04-23,23077.0,5012.0,721.0,17
2020-04-24,24530.0,5498.0,780.0,17
2020-04-25,26283.0,5939.0,825.0,17
2020-04-26,27890.0,6523.0,881.0,17
2020-04-27,29451.0,7137.0,939.0,18
2020-04-28,31324.0,7747.0,1008.0,18
2020-04-29,33062.0,8437.0,1079.0,18
2020-04-30,34863.0,9068.0,1154.0,18
2020-05-01,37257.0,10007.0,1223.0,18
2020-05-02,39699.0,10819.0,1323.0,18
2020-05-03,42505.0,11775.0,1391.0,18
2020-05-04,46437.0,12847.0,1566.0,19
2020-05-05,49400.0,14142.0,1693.0,19
2020-05-06,52987.0,15331.0,1785.0,19
2020-05-07,56351.0,16776.0,1889.0,19
2020-05-08,59695.0,17887.0,1985.0,19
2020-05-09,62808.0,19301.0,2101.0,19
2020-05-10,67161.0,20969.0,2212.0,19
2020-05-11,70768.0,22549.0,2294.0,20
2020-05-12,74292.0,24420.0,2415.0,20
2020-05-13,78055.0,26400.0,2551.0,20
2020-05-14,81997.0,27969.0,2649.0,20
2020-05-15,85784.0,30258.0,2753.0,20
2020-05-16,90648.0,34224.0,2871.0,20
2020-05-17,95698.0,36795.0,3025.0,20
2020-05-18,100328.0,39233.0,3156.0,21
2020-05-19,106475.0,42309.0,3302.0,21
2020-05-20,112028.0,45422.0,3434.0,21
2020-05-21,118226.0,48553.0,3584.0,21
2020-05-22,124794.0,51824.0,3726.0,21
2020-05-23,131423.0,54385.0,3868.0,21
2020-05-24,138536.0,57692.0,4024.0,21
2020-05-25,144950.0,60706.0,4172.0,22
2020-05-26,150793.0,64277.0,4344.0,22
2020-05-27,158086.0,67749.0,4534.0,22
2020-05-28,165386.0,70920.0,4711.0,22
2020-05-29,173491.0,82627.0,4980.0,22
2020-05-30,181827.0,86936.0,5185.0,22
2020-05-31,190609.0,91852.0,5408.0,22
2020-06-01,198370.0,95754.0,5608.0,23
2020-06-02,207191.0,100285.0,5829.0,23
2020-06-03,216824.0,104071.0,6088.0,23
2020-06-04,226713.0,108450.0,6363.0,23
2020-06-05,236184.0,113233.0,6649.0,23
2020-06-06,246622.0,118695.0,6946.0,23
2020-06-07,257486.0,123848.0,7207.0,23
2020-06-08,265928.0,129095.0,7473.0,24
2020-06-09,276146.0,134670.0,7750.0,24
2020-06-10,276583.0,135206.0,7745.0,24
2020-06-11,297535.0,147195.0,8498.0,24
2020-06-12,297535.0,147195.0,8498.0,24
2020-06-13,308993.0,154330.0,8884.0,24
2020-06-14,320922.0,162379.0,9195.0,24
2020-06-15,343091.0,180013.0,9900.0,25
2020-06-16,354065.0,186935.0,11903.0,25
2020-06-17,366946.0,194325.0,12237.0,25
2020-06-18,380532.0,204711.0,12573.0,25
2020-06-19,395048.0,213831.0,12948.0,25
2020-06-20,410461.0,227756.0,13254.0,25
2020-06-21,425282.0,237196.0,13699.0,25
2020-06-22,440215.0,248190.0,14011.0,26
2020-06-23,456183.0,258685.0,14476.0,26
2020-06-24,473105.0,271697.0,14894.0,26
2020-06-25,490401.0,285637.0,15301.0,26
2020-06-26,508953.0,295881.0,15685.0,26
2020-06-27,528859.0,309713.0,16095.0,26
2020-06-28,548318.0,321723.0,16475.0,26
2020-06-29,566840.0,334822.0,16893.0,27
